method,step,parameter,group,shape,numel
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.5.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.5.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.5.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.5.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.6.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.6.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.6.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.6.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.7.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.7.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.7.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.7.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.8.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.8.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.8.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.8.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.9.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.9.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.9.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.9.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.10.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.10.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.10.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.10.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.11.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.11.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.11.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_orth_delta_trace_lam_50,4,vision_model.vision_model.encoder.layers.11.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_orth_delta_trace_lam_50,4,classifier.weight,classifier,"[100, 768]",76800
rank_extension_orth_delta_trace_lam_50,4,classifier.bias,classifier,[100],100
